"","geneID","FLF-ERR146941","FLF-ERR146942","FLF-ERR146943","iL3a-ERR146944","iL3a-ERR146945","iL3a-ERR146946","iL3-ERR146947","iL3-ERR146948","iL3-ERR146949","pfL1-ERR146950","pfL1-ERR146951","pfL1-ERR146952","ppL1-ERR146953","ppL1-ERR146954","ppL1-ERR146955","ppL3-ERR146956","ppL3-ERR146957","ppL3-ERR146958","PF-ERR146959","PF-ERR146960","PF-ERR146961","FLM-SRR13343624","FLM-SRR13343626","FLM-SRR13343625","XLOC_IDs","Location","Description","InterPro","GO_term","UniProtKB","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","SSTP_0000000200",0.0554040242122499,0.0540581458176221,0.0560690025243707,0,0,0,0,0,0,0,0,0.018476798029323,0,0,0,0.0341389530453573,0,0,0,0.177184144666366,0.0425130086438059,0,0,0,NA,NA,"Chromo domain-containing protein","Chromo/chromo_shadow_dom, Chromo-like_dom_sf, Chromo_domain",NA,"A0A0K0DRY2","",NA,"",NA,"",NA,"",NA
"2","SSTP_0000000700",0,0,0.0532838559865335,0,0,0.087886210478389,0,0,0,0,0,0,0,0,0,0,0.00876807974566791,0,0,0,0.0231926268085772,0,0,0,"XLOC_009263 | TCONS_00013380.p1","Ss_chrX.2","LAGLIDADG_2 domain-containing protein",NA,NA,"A0A0K0DRY7","SRAE_X000212400 | WBGene00267702",37.3737,"SPAL_0001160200",43.4343,"SVE_1630800",29.2929,"",NA
"3","SSTP_0000000900",0.0166482169944819,0.0515839175469917,0,0.255967958377671,0.147026265221839,0.163232055749525,0,0,0.0369062932474036,0,0,0.0182857223388085,0,0,0.0164365505989411,0.0707136361253778,0.0234758621351732,0.110438667507956,0,0.193654609381471,0.186198008687336,0.0467058362133905,0.0461654242805774,0,"XLOC_009264 | TCONS_00013381.p1","Ss_chrX.2","Integrase catalytic domain-containing protein","Integrase_cat-core, RNaseH-like_sf, RNaseH_sf","nucleic acid binding, DNA integration","A0A0K0DRY9","SRAE_0000048500 | WBGene00256229",11.3821,"SPAL_0000544500",30.8943,"SVE_0761500",10.5691,"",NA
"4","SSTP_0000001000",0.0168607424265096,0.0172013342217035,0.0540541529957557,0.291324365143823,0.205186657069154,0.37963629907373,0,0.0276496451791286,0,0,0,0.0369479067089467,0.0253507258438428,0,0,0.235381387734019,0.0701656117936604,0.087050529913501,0,0.219664184564799,0.207376958032963,0.0704061579708134,0.0233618272845119,0.0857995044219308,"XLOC_009264 | TCONS_00014081.p1","Ss_chrX.2","Reverse transcriptase domain-containing protein","RT_dom, Rev_trsase/Diguanyl_cyclase, DNA/RNA_pol_sf",NA,"A0A0K0DRZ0","SRAE_0000048300 | WBGene00256227",66.0232,"SPAL_0000147900",1.9305,"SVE_0615100",0.3861,"",NA
"5","SSTP_0000001050",0.0166409485237777,0.0174201566780394,0,0.119601327519664,0.0548870289796088,0.0545702802316571,0,0,0.0367957110138767,0,0,0,0,0,0,0.047319862797912,0.0236495163181194,0.0893807335387427,0.0908369182202364,0.048409819257284,0,0.117543752833305,0.069251655202717,0.0212087969531056,"XLOC_009264 | TCONS_00014081.p1","Ss_chrX.2","FERM domain-containing protein",NA,NA,"A0A0K0DRZ1","",NA,"",NA,"",NA,"",NA
"6","SSTP_0000001100",0,0.0171775904775,0.071733569468729,0.222351159216659,0.092662720691998,0.163253758904113,0,0,0,0,0.0164472682220205,0,0,0.0164731543329271,0,0.0235842919096346,0.0468790410059576,0.197463637161043,0.0906550998390553,0.0972909812809084,0.139081034938195,0.070229638320993,0.0232325074775034,0.106623538198484,"XLOC_009264 | TCONS_00013383.p1","Ss_chrX.2","",NA,NA,"A0A0K0DRZ2","SRAE_0000051100 | WBGene00256256",8.1761,"",NA,"",NA,"",NA
"7","SSTP_0000001200",0,0,0,0.0513673943716099,0.0560249647136496,0.0540337097625047,0,0,0,0,0,0,0.0252602577395917,0.0163653826927884,0,0.0469549341855177,0,0.0216393600737872,0,0.170846247307519,0.0917332084197503,0.0234588318277007,0,0.0214706460526878,"XLOC_009264 | TCONS_00013384.p1","Ss_chrX.2","Regulator of chromosome condensation",NA,NA,"A0A0K0DRZ3","",NA,"",NA,"SVE_0686500",10.2871,"",NA
"8","SSTP_0000001400",0,0,0,0.0169561357107844,0,0,0,0,0,0.0166967042644835,0,0,0,0.0166660541260512,0,0,0.0235982041840975,0,0.180484365736568,0.0964045371683991,0,0,0,0,NA,NA,"Reverse transcriptase Ty1/copia-type domain-containing protein",NA,NA,"A0A0K0DRZ5","",NA,"",NA,"",NA,"",NA
"9","SSTP_0000001425",0.0165815500882122,0.0173209554142825,0,0.0170170382122905,0.0182279118402572,0.0362140616315609,0,0,0,0,0,0,0,0,0,0.023544370259295,0.023529331407402,0.0444451920698941,0,0.096407532471978,0.0934574568086013,0.023381562947957,0,0,NA,NA,"PP_kinase_C domain-containing protein",NA,NA,"A0A0K0DRZ6","",NA,"",NA,"SVE_1062900",33.6735,"",NA
"10","SSTP_0000001450",0,0,0,0.0169335253897095,0.0181487952917391,0.0180365819251831,0,0,0,0.0166910248746265,0.0326833207111557,0.0180125526476594,0,0.0166620369781861,0.0502520828980267,0,0.0235892738420567,0,0,0,0.0233184688466987,0,0,0,NA,NA,"Gag-pol polyprotein",NA,NA,"A0A0K0DRZ7","",NA,"",NA,"",NA,"",NA
